,answer,keywords
1663,tehran,capital Iranian american city April Persian Square world Lolita Gulistan Palace Peacock Throne Middle Shah Reading attempt history rescue hostage tower Eastern Elburz mayor Churchill Stalin Ahmadinejad warm million Mahmoud September failed held Fath Cairo Toopkhaneh Imam Khomeini Mongol Afghan
5077,tel aviv,israel city Jerusalem jewish Airport shalom Mediterranean founded Jaffa Elite Gurion Daughter Maccabi Major Europe Stops Tower basketball financial center capital suburb world municipality burbs stand people mile embassy incorporated single millennium metropolis team love served history modern today cultural
1827,television,John medium Baird called japan opera people Fred patron saint Kyokai January London April York baseball quotable demonstrated definition technology Farnsworth Clare Emmy Award Ernie Kovacs Gnagy Stravinsky Flood Nippon Hoso Mason Brown Suggestions Mark Fowler Commercial Logie century American
3717,ten,Latin Number word Length Psalm December year boxing sequence dean full count physical bible threescore origin decimal day meaning Schwinn Continental Elzire Dionne Ontario Canada Harrison Force Navarone Shook squid introduced birth child larger dime back family matter gave pregnancy
96,tennessee,state Andrew Volunteer Jackson Crockett Union river Murfreesboro home southern Knoxville Rocky park Civil battle davy Book National song Shiloh Opry america Daniel Grand capital Confederate Music point senator century Gore college Nissan Smyrna Inherit Wind Spencer Tracy Hillsboro Butler
332,tennessee williams,playwright play Summer Southern Glass Rose Orpheus Descending Menagerie Tattoo Smoke Spring Mrs. Roman Desire daddy named theatre award Bird roof Streetcar Sweet Night Youth Iguana Hotel author state American drama story famous Surprisingly Tallulah Bankhead Reed Battle Angels Zelda
228,tennis,sport Budge ball court game Slam played Club Grand Helen racket american Davis yellow woman Moody white Gold century Cyclops Analyst Tony Trabert National Molitor Spalding Casino VIII Hampton Palace Steffi Hansons Guinness Olympic French Rhode Island year championship serve
1651,tennyson,King Idylls poet lord wrote Brigade liszt Forward wood decay Elaine Astolat Crossing English Happy Queen Victoria Duke Wellington Charge Heavy Frederick Reel Lightly Byron Burleigh Lady Shalott Locksley Hall pilot face called british purple Death back Brothers crost bar
1201,tequila,liquor mexico potent potable Jose Cuervo drink Jalisco agave named Spanish Alexis Lichine Cooking Gulp precedes made food Mockingbird cocktail Bloody town Herradura blue strong type spirit distilling sunrise booze brand back fire throat tossed salt call obtained pulque international
971,termites,insect ant white wood Isoptera order mound cockroach home colony cellulose Anteaters Europe Africa called feed specie live wood-eating grass animal foot main related closely true damage dead mammal built study pest group destructive snack India Timber Smithsonian Ford Recent
4068,terms of endearment,Oscar Debra Picture Winger Shirley Jack film Nicholson Actress Director Supporting Actor astronaut tearjerker James Brooks MacLaine Aurora role start daughter tarzan Emma Sweetie Breedlove Houston cinema movie mother word McMurtry Reynolds John Lithgow Kerrey Nebraska Michael Gore Honey Lamb
3769,tesla,Model Belgrade Edison electricity American named inventor company coil museum pioneer Serbia Gigafactory week billion Balkans Changing Roadster Europe induction machine built scientist history volt left raise year exchange buck topped hour tune told spent designed cost today fell short
4385,tess,Hardy Thomas Guarding Alec d'Urbervilles Nicolas Cage literary crossword clue Return Native Doomed Doug Chesnic Nastassja Kinski movie mommet angel english gal seduces suitor film adaptation complete gave wrote girl fictional female beginning mere vessel emotion untinctured experience damsel heroine
3418,tess of the d'urbervilles,Hardy Thomas Pure woman Faithfully Presented subtitle British book heroine hanged character classic Alec Durbeyfield Maiden Bless Slopes Fittingly Drop Spoiler Trantridge century line estate prologue preface fiction stabbing seducer cliff note make series unfortunate decision read literature part called
3847,tetanus,disease booster shot lockjaw Clostridium rusty year health infectious medicine science wound early Step Nicolaier Careful Cuts Immunization Diphtheria Trismus fewer malady case sign condition symptom sickness spore bacterium tetani recommended adult yardwork lesser-known ancient roman difficult understand muscle nail
11,texas,state county Mexico city history national largest university republic independence Crockett park american Port Guadalupe March college river Grande Lubbock Battle Pecos named museum flag George longhorn world Jacinto Smith Hall song People capital border Spindletop declaration Baylor Austin Reservoir
214,thailand,Country Asian King world nation Bhumibol Adulyadej Bangkok River Southeast Rama Land Kwai Chiang Chakri Golden Cambridge Phraya Buddhist Chao Thep Raised Shinawatra Peninsula Phuket geography October Chulalongkorn Emerald Mongkut Burma Thailand born dish elephant Mass Malay travel holiday noodle
1836,thames,river London bridge Windsor lake Monet Castle Oxford English European music Westminster world Henley-on geography pas Gravesend Britain July series travel Handel Water Havasu Arizona Abingdon Reading Isis Churn Coln Leach Claude Great Severn Sturgeon Cotswold Hills Gloucestershire Cross University
616,thanksgiving,holiday November American observance national Thursday Henry celebration Sarah year Nov. October called popcorn Washington York Detroit Santa Great Smokeout English day purely William Bradford British Josepha Hale Mary Lamb week autumn moved parade Canada Mass federal event began pumpkin
4759,that '70s show,ashton kutcher Forman sitcom Michael Kelso Mila Kunis Pinciotti show August Dec. Steve Hyde Donna Ukrainian-born Jackie Burkhart Lindsay Lohan Mandy Moore Wilmer Valderrama Days Eric Brooke Shields Tommy Chong Wisconsin Tanya Roberts Midge Topher Grace played decade series quiz
3976,the '60s,decade Juan Peron Orioles Brooks Robinson Bummer argentina civil musical rock time president baseball mvp century Sandy Koufax Style.com Shout Downtown Goldfinger Moody Blues Kathryn Stockett Airport Watts Swinging Britain Profumo Affair Aleksey Leonov Woodstock Students Sorbonne Paris Dodger spring
3064,the 17th century,century Massachusetts John baroque locke invention telescope trial Years Philip Pilgrims Sarah Good Rebecca Nurse Smith Virginia Jamestown London Great Fire English Mayflower Abel Tasman Rembrandt Rijn Baruch Spinoza Europe Musketeers Charlie Sheen Kiefer Sutherland Oliver Platt Salem King too-short
3076,the 18th century,Century Louis Virginia Delaware Maryland African France Franklin Handel Berenice Queen Egypt Marat lightning pittsburgh history prohibited importation slave reign flew kite invented opera hiatus crime gravity Antoinette British Cavendish King George London Robespierre Charlotte Corday Boston Massacre Battle Cowpens
5151,the 1920s,decade lewis party bestseller Short Babe Ruth Main Street Dodsworth Elmer Gantry Quiet Western Front Reader Digest Business Week Time America Drag Arrowsmith Innocence Mussolini Victrola Joseph Moncure March Wild Oscars Valentine Massacre clothing hit home major station begin place
4064,the 1930s,Decade century Social Picasso Guernica Security Newsweek Esquire Consumer Reports fewest immigrant admitted painted magazine debut baseball mvp created Men Carl Hubbell Iron Horse Gehrig Frank Sinatra Harry James Dizzy Dean Jesse Owens Post Office Yearling Mice Good Earth Happen
3115,the 1940s,decade India Pakistan Brooklyn jackie gain independence bestseller baseball Israel Tree Grows Bell Tolls John Paul Stan Musial Splendid Splinter Williams Americium China Communist Forever Amber Naked Dodgers Baby Harbor Hindus Sikhs British Black Dahlia Lone Ranger Meet Press century
3067,the 1950s,decade house open century debut bestseller Platters Republicans Elizabeth Queen England Castro Batista Eternity Peyton Place Guide Playboy Ford Motors Seuss Ronald Reagan Khruschev Secret Speech Stalin Power Positive Thinking Marjorie Morningstar Grease Crucible Kroc Salk United States Disneyland representative
2499,the 1960s,Decade Valley Dolls York commission mandela century bestseller introduced year Botswana African Kwanzaa Carnaby Robert Joffrey Astarte Airport Rolling Stone Psychology Today Quasars Faye Dunaway Hollywood Beatle Fudge Rafer Johnson Maris Kerner Agony Ecstasy Live Black Panther Party Counterculture Theodore
4607,the 1970s,Decade saving susan anthony daylight time carter bestseller library history Constitution Henry Kissinger Paris Vietnam Goodbar President Men Money Games Legionnaire Jaws Jonathan Livingston Seagull Georgia Washington Post Public Service Pulitzer Mile Island Carrie Helter True Manson Murders Zedong government
2328,the 19th century,century Nathaniel ibsen state romanov english painting invention made crime Secessionville Union Bouguereau Alexander Ward Beecher Cuba Germany Wilhelm Impressionists Artists Currier James Ives Texas Palmer Antarctica Edison Free Soil Party British Empire Kodak Samurai Lewis Payne Secretary Chicago Battle
2654,the 20th century,century Chicago haakon emperor train began disaster Emmanuel York Prince Charles Denmark City President Henri Philippe Petain Italy Victor Manchu Dynasty Brinks Russia Gallipoli Hirohito Atonement Lusitania Battle Vimy Ridge Konstantin Chernenko transportation famous joan lived year fame formally declared
2519,the a-team,Howling Murdock Hannibal Smith Dirk Benedict Face fool Baracus Rampage show pity Liam Neeson title group George episode played isaac Based cooper film Mrs. America Peppard Framed Bank Hanoi Remington Steele Rick James Jackson Dwight Schultz Dunigan team pilot hire
4614,the acropolis,Athens hill museum Nike temple site Gate greek Callicrates Opened king city house world citadel returned ancient designed Erechteum Persians Pericles Beule UNESCO Phidias Ritsos Epitafios Elgin Propylaea Mycenaean-era Yannis music history shrine legendary long rebuilt added travel tourism pas
1959,the addams family,Morticia Wednesday Thing Ookier Anjelica Huston Astin Raul Julia kooky creepy John Pugsley Michigan film series theme sitcom Uncle Fester family movie Gomez Grandmama Lurch television paid Broadway role played rang show mysterious businessman box give hand sequel September Mondays
2668,the adriatic,Mediterranean Italy Venice Strait Queen Marco Polo geography Albania River sea city Island world Rimini Dubrovnik Croatia Gulf Bari Durres Roman Silt Balkans Ionian Ancient Appia Forum Brundisium Partly Slovenia Audace Trieste water port acre flow mile foot body extends
3475,the aegean,asia Crete Mediterranean Greek island Minor Flourishing Apollo Delos Amazon Cape Baba Lesbos Skyros Gulf Pagasai Sinus Happy Thracian north point ncient sea place called greatest depth world file king queen jutting westernmost crossword clue peninsula zorba good fortune sail
3737,the aeneid,Virgil epic Trojans Troy poem Book Dido Italy Carthage work hero wrote left story literary brave queen Creusa Latins Aeneas Fighting Augustus Berlioz Iliad Odyssey ncient ing consists decade unfinished focus surviving myth magic wife ghost destiny unite whoop spoiled
2515,the african queen,bogie Hepburn Allnut Bogart Nature Charlie film Humphrey world rise Ulanga Forester classic Kate title maltin book Lanchester quote riverboat Oscar Cockney Canadian Making Belgian Congo James Agee John Huston Academy Originally Laughton Elsa Jason Bourne screen line starred cinematic
3661,the age of innocence,Wharton Edith Newland Archer Pulitzer York Prize City Olenska Ellen Fiction Daniel woman michelle film book fall high love Day-Lewis author social life american wrote back Scorsese Troy Countess Zeit Unschuld Gossip Girl Prize-winning Thomas Reason Writing earned year satire
508,the alamo,Antonio Texas March mission William Travis history battle Mexican Davy Bowie landmark Santa Crockett Built site cradle troop remember Valero flag tourist Catholic fell defender John Wayne Dickinson death Liberty February west Jacinto city star early killed survivor annette Col.
4172,the aleutians,island Alaskan chain group Unimak Kiska Japanese Attu geography mile foot stretch partly time Hemisphere June Umnak Bering Pacific Ocean Eastern Virtually Shishaldin Russia Kamchatka Peninsula Hawaii Cleveland Volcano Scientist William Dall largest settled history archipelago belch feature separate oldest
762,the alps,mountain range Switzerland Pass Europe Bernard Italy highest peak Blanc Mont Great Austria lake world geography Saint Danube crossing long century including train tunnel River Western Southern foot system grand tour traverse find year painting named section category Gulf Grossglockner
464,the amazon,river south American world water largest Peru mile Brazil Madeira basin tributary lake Iquitos body Francisco geography island found Orellana Atlantic Ucayali Maranon Paintings Oceangoing Bolivia Mountain flow rainforest long Manaus Orinoco Negro carry major combined travel border glacier history
4630,the america's cup,Thomas Lipton Shamrock Newport London Robert Garrard Crown trophy race yacht Australia Dennis Conner boat quest jeweler zealand non-American ended ship lost sterling silver designed Defeating friday Jubilee English Black Magic Juan January Finally event year international prize Carlos Philip
4873,the american bar association,Gavel Roberta Cooper organization Ramo award magna carta association lawyer founded boston state legal president Simeon Owen Marshall Baldwin Publico Abbreviated Silver Albuquerque Michael Greco Denny Crane largest woman female school history group debt erected monument accredits show Pro-Bono annually
3137,the american revolution,Deborah America Discharged Paris Sampson Quaker Nathanael Greene George Bernard Shaw Devil Disciple Tuchman Salute Shurtleff Treaty play battle france revolution war century Yorktown Founding Hill served soldier born command playwright bestseller account herstory ended Robert Women Oct. Minutemen Saratoga
574,the andes,mountain South range American Peru World Chile highest chain peak Aconcagua Antarctica western geography Central Ojos Paul Read Alive Salado Chimborazo Ecuador Panama Colombia Hemisphere Cerro Mercedario foot inca longest volcano llama highland named valley bear part stretching Argentina bolivia
2757,the andy griffith show,Opie show Barney sitcom episode Fishin Hole North Carolina Danny Thomas Mayberry Aunt classic part Floyd Gomer monday theme Sheriff cookbook jack song television pilot played Maple Blinken Taylor Pyle September Actor carry night bird spin-off Road Emmett Finds Baby
4902,the appalachians,mountain Alabama range part Mississippi civil River system Quebec great jersey point larger west Blue Oddly North divided eastern theater instrument Smokies Catskills Cumberland Grand Canyon Shickshock America High Kittatinny Kentucky Maine Atlantic Scottish border story geography stretch highland remnant
3173,the appendix,body function human vermiform part Latin tube organ inflamed lower abdomen hang large useless word precedes McBurney incision anatomical etymology closed intestine Resembling Time Findings American cecum rupture wormlike medicine surgeon remove book inch immunity slender attached projection burst ail
3685,the appian way,Roman Brindisi Begun originally Italy mile Built highway Queen Capua byway famous Named Antiquity South construction Campania Roads stretched heel today ancient Appius Claudius Greece Domine Vadis Church Peter Jesus Lord Mediterranean Called Adriatic engineering work year link foot major
4412,the arctic ocean,ocean water body Laptev Island Kara Ridge siberia canada North sea greatest foot degree depth include July surrounded Spitsbergen Wainwright Alaska Atlantic Norwegian Russia Hans Alpha Pole Franz Josef Severnaya Zemlya Lomonosov Ellesmere Features Makarov Amundsen Basins high major river
3227,the ark of the covenant,Moses Exodus Lord Chronicles bible cubit testament Uzza David Aaron object tablet overlaid container Israelites Numbers Commandments wood gold Philistines Jerusalem Tradition Beth Shemesh brought smote made touching biblical King month topped place report slew raider describes luck returned carting
3886,the army,branch military dick armed defense Serve tolstoy World february navy Clifford Powell force marine black Hawk Chaparal Manhattan Project Sevastopol Frank Luke Norman Schwarzkopf Teddy Roosevelt Alexander Specialist Department State Colin oldest Nike-Hercules guided missile americana advise slogan bomb charge
1936,the articles of confederation,Congress Constitution document March american Nov. Articles state John government United Ostensibly Maryland Continental revolution effect history Hanson national century adopted June president delegate november July signed abandoned ratification temporary based finally favor approved sweet meeting starting roger revise served
2479,the atlantic,ocean water Point body world Blue Liberia geography mouth food amelia emily second-largest oyster region flow June Sirius Noted Sargasso Senegal Africa Brazil Important Highway Peru Caribbean Tagus Proceed Congo Atlantic Pacific Arctic Mediterranean Guyana Puerto Rico Trench Titan Greek
4298,the atlantic ocean,ocean water island River earhart flightless bird body George Charles Amelia flow bottom Peru Amazon Milwaukee Deep Lake Michigan Puerto Rico Harbo Frank Samuelsen Helena Tagus Angolan Kianda Inaccessible Tristan Cunha Lindbergh Daytona Beach Florida Canary Sargasso Gambia south rowing
1916,the atlas mountains,mountain Morocco Tunisia range Algeria Africa system North Toubkal extends Barbary Aures Sahara geography home book peak eastern Give mediterranean Rising mile chain highest wild Jebel Chambi Arabic Djezira Island West Europe Alpine Check Marrakech Pink City Chelia Cape Originally
4629,the azores,Portuguese group island Atlantic archipelago Newfoundland North Miguel uninhabited Lajes Field tough mile base westernmost point discovered Madeiras Diego Senil flag capital Jorge USAF Spain America Europe Delgada Terceira settled geography people possession include bring game mining square stop treasure
1361,the aztecs,people mexico Montezuma Spanish history year empire Cuauhtemoc Cortes Centeotl Nahuatl Friar tribe civilization language Indian Bernardino Sahagun Huitzilopochtli god mythology ruler valley Tenochtitlan world myth ritual sacrificed lasted belief needed nourishment account incident killed anthropologist found bone religious worshipped
4713,the bachelor,Chris Harrison reality title show accept jason single series catchphrase rose host Helene Unmarried Man Mesnick Juan Pablo Courtney Robertson Make Friends Lauren Bushnell recent film pair Bobby-Soxer fall born television closely bride chasing O'Donnell extra drag movie picked school
709,the bahamas,island Florida West Nassau Indies nation Providence country Columbus world archipelago group coast Andros capital Marine Corps Paradise mile Cuba Britain Antilles chain left landing internet Commonwealth discovery north Bird battle cay bolivia bahamas bulgaria private geography code place casino
3840,the baltic,Gulf Finland Latvia European Lithuania north water Moscow Churchill gdansk estonia coast body Sweden Neman Vistula Rivers Sailing Olympics Stettin Trieste Lying Irbe Strait Riga Bornholm Rugen mapmaker cool sport place freeze easternmost major flow lettish west popular held country
3735,the baltic sea,Lithuania Latvia Gotland body water Swedish Klaipeda Riga russian pier geography city Estonia Kaliningrad Stockholm Gdansk Europeanize Petersburg Vistula Finnish Itameri Germans Ostsee Amazing Palanga include word great call harbor important mile border salt collective term people largest state phrase
4136,the barber of seville,Rossini opera Spain Italian Figaro title Almaviva Bartolo character performed music haircut comic shave Verdi Marie Antoinette York Barbiere Siviglia Count Hairstylist Andalusian City Paisiello Spaniard Lily Pons Crusty Spanish-set Largo debuted century acted play based abundance real idea finest
985,the bastille,July paris prison french stormed revolution history Slated Tuesday year sade fortress charles landmark century Pont Concorde Vernon Launay Cardinal Richelieu Washington Lafayette place madman held forger gunpowder left white outline mysterious iron mask life nobleman structure date building object
2113,the bay of bengal,Bangladesh India River water body Chittagong Burma Ganges Ocean Andaman Lanka major mile Brahmaputra Coco flow island include myanmar Northern large port Sittwe Calcutta Nicobar Krishna Seaports Trincomalee Chanel Asian Dhaka Pondicherry Pradesh Barisal Seafood Great Chennai Himalayas Dondra Head
2497,the bay of biscay,France Spain Atlantic river water body Loire Bayonne Golfe Gascogne Bordeaux Gironde canal Dune brittany include November geography city european flow largest sand Basques Nantes Rochefort Principal Aviles Vizcaya Midi Mediterranean Bilbao Pilat Phare Cordouan Lion Biarritz English Concorde port
3534,the bay of pigs,Cuban April exile call Bahia Cochinos memorial landed Miami Castro body 17-19 location overthrow water attempt government invasion occured Brigade state failed Caribbean Fighters Plaza Order Giron Beach Fidel american commemorates military million CIA-trained history ransomed ill-fated venture spring force
4766,the bbc,England monopoly britten Independent April Empire Richard Service corporation Television Authority Swiss World Voice Dimbleby radio network milestone organization commissioned shown entertainment broke heard hoax reported deadpan farmer bumper crop spaghetti anglophilia broadcasting curious case benjamin opera November Tony London
968,the beach boys,California Deuce group Coupe Wilson Surfin roll Brian Music ballet Dean Good Vibrations band song rock award Twyla Hall Tharp Safari Kokomo Dennis Love Girls Barbara year Merit David Pendletons American Torrence Ann Chuck Berry Sweet Sixteen USA Charles Illinois
2413,the beagle,Darwin Charles ship voyage British harbor famous Robert captain science book mission horn Named wrote important event sailed naturalist FitzRoy life scientific breed made history aboard September Galapagos England John Bible Rescue Education Welfare Schulz Survey Extraordinary Patagonian Coast Falkland
2209,the beastie boys,Monkey Brass Adam Till Brooklyn Sleep Licensed album Yauch Mike Horovitz Freak rock boy King Communication group song debut busted noise trio Tibetan Diamond Fight Freedom Concert Francisco Michael Acclaimed Sabotage Makin Sadly jealous music white band hip-hop chart died
459,the beatles,group Yesterday Ringo album Aug. Anthology rock band Goodbye Beatles Life music rolling elvis Tour sullivan quartet Love British Paul George February Apple year song release million Sopwith Camel Prudence Sept. Backbeat Feb. Records Yoko Mick Jagger Keith Penny Lane
3913,the bee gees,Hall rock Talkin Fame Roll group Night Fever Jive trio British Barry band message Disco Australian Lonely Days Mend Heart Dec. Tragedy brother Staying Saturday Inducted Maurice Robin Deep Love Isles Hitting hitmakers straight singer career week record late king
1543,the bering sea,Alaska Yukon water Pribilof Islands body Aleutian River Peninsula Pacific Siberia North Kamchatka Basin named Nunivak seal empty Congress Dezhnev Japan Chukchi geography explorer part southern strait Sound Anadyr America Danish Okhotsk Dane Semyon Saintly Paul Lawrence Matthew Commander Critical
4001,the bering strait,America strait Russia Alaska Asia cape Diomede North land bridge arctic ocean king point mile talk body water place separate world born Similar Siberia Prince Dezhnyov Bison Pleistocene Nome West Seward Peninsula Denmark global encountered flight belonging archaeology artifact found
1650,the berlin wall,November Gorbachev Reagan June wall Chris Asked Gueffroy year structure barrier Cold history Germany Aug. quote Checkpoint people August landmark speech night European person killed cross Ronald Nov. challenged possibility coming eternal 12-13 cover infamous West Matthews Francisco Examiner Renzo
2293,the bermuda triangle,Devil Atlantic Triangle Navy Cyclops Florida ship area mystery region lost plane century Charles March Berlitz Dept Ocean Miami Bermuda Juan Puerto Rico British North disappearing trace geography shapely vanished spooky recorded polygon large vessel book famous radio equipment unsolved
1231,the beverly hillbillies,Granny Drysdale Jethro Clampett Elly sitcom Cousin Pearl show classic family Drive Ozarks Crestview played film featured Ballad theme Fans Erika February April episode Baer Bodine Jedheads Eleniak Come'n Jed Buddy Ebsen Cloris Leachman Californy Learns Beverly Hills Spring Tonic
1113,the bible,book version English bell lady translation liberty american mystery play author seller published Middle Ages Fundamentally Massachusett Peter Shaffer Proclaiming Medieval Living High German Bird Johnson Elizabeth Stanton drama quote part Standard Revised Good Eliot source printed language religion called
3639,the big bang,billion Fred Hoyle universe theory Astronomer event science evolution term year coined Hubble Wrinkles Telescope Physicist George Smoot Nobel Prize Cosmology Matias Zaldarriaga Gravity Einstein constant beginning stuff alliterative started discovered support temperature proposed entry happened fast expanding noisy occurred
1540,the big bang theory,Sheldon Cooper Leonard sitcom theory Universe show Penny cosmic billion emmy Wolowitz Gamow Koothrappali explosion Caltech year Expanding Herman Alpher Jolt Alan Guth Kunal Nayyar Rajesh Parsons Klingon Boggle Polarization Adhesive Duck Deficiency Kaley Cuoco Bazinga Hofstadter Nimoy enjoys character
3264,the big chill,Kevin Close Glenn Film William Hurt Kline Michigan Costner movie funeral Lawrence Kasdan Jeff Goldblum friend university screen soundtrack cast included Heard World group college corpse reminisce ensemble gather time pal Body Grapevine Good Girl Alex Blue radical song cinema
3349,the big sleep,Chandler Raymond Marlowe Philip Bogie film bogart Faulkner bacall title William classic london Snooze mystery based played detective Huge Humphrey California Mount Hope Cemetery Shamus Academy death remake writer adaptation screener year contender curiously word star noir graveside humor middle
2657,the bill of rights,December constitution state Jersey ratify amendment bill Dec. Connecticut John history america finally century marshall force list important group government collectively part Nov. Congress Speaker Frederick Muhlenberg President Adams effective original package begin people document strong celebrate decision holiday related
3743,the black eyed peas,Boom Pow Fergie Taboo group Started Humps band feeling ferguson Providing grammys included music Super Bowl prom queen Appropriately Alanis Morissette Meet Halfway Monkey Business Lie Phunk Heart Stacy video show rendition century pea blowing member award dance king hip-hop
3878,the black forest,German Schwarzwald forest River region tree black walk geography southwest found dark world elf border Called Danube Jankowski Erlking Neckar Schwenningen Feldberg Basel Rhine colorful pianist foot discount attraction specie deep fairy tale fame mountainous spruce music chart location sighting
4056,the black hills,Dakota South Peak hill Custer mountain Rushmore Sioux geography gold City Wyoming wyatt earp colorful rush eroded alive Chalks mine america nickname region range Home Homestake Wind Cave National Park Harney Rapid Gateway High Territory indian pale foot late square
885,the black sea,Crimean body water Mountains Danube Turkey Azov Ukraine Peninsula River Kerch Dnieper bulgaria Strait northern Bordered romania Odessa Axeinos Georgia sea coast form cliff flow include blue geography called mile Marmara Bosporus found connects tough Soviet Russia Germany Schwarzwald Europe
4613,the blue ridge mountains,Appalachians Mountain Virginia range Carolina park national Georgia John Denver South Shenandoah colorful highest point country forest geography Home valley lie Atlanta West Table Rock Brasstown Bald Sassafras Pennsylvania Cherokee Tennessee Pisgah Rogers road rise foot surround city lead blue
2498,the blues brothers,Belushi John Jake Elwood Aykroyd God movie soul mission aretha Brown Dave film Calloway comedy blue brother chicago Frank starred Charles SNL Maniacal Wearing King Twiggy Steven Spielberg Cook County Man Rawhide Paul Reubens cafe taglines comic hitmakers remake wine
1415,the boer war,South African Churchill Treaty swaziland British Winston London Morning Post ended Free Pretoria Orange State Dutch history Vereeniging Arthur Conan Doyle term Transvaal Kruger odds officially newspaper 1903-1968 cover result control Soldier Louis Botha signed possibility word interested defeat declared
2231,the book of mormon,broadway Musical Joseph Smith Elder Parker Matt Trey Stone book show Moroni March Lopez Robert Tomorrow Cunningham Price text American prophet plate General part atlanta work published Jerusalem Lehi Day Missionaries Salt City golden angel character Danish religion Testament Jesus
2923,the boston massacre,British March American Crispus Attucks john Adams Thomas Preston troop event revere incident killed Captain House soldier Robert Customs Treat Paine Michael Army Facts Samuel Beantown part murder riot history figure colonist century taunting massacre slaughter prosecuted indicted revolutionary living
3848,the boston red sox,team ruth Yankees Bill Buckner Wally Green Monster East baseball curse American League David Ortiz Series sport Babe sold game inning lost leg mascot represents book owner debt pennant stadium patron Carl Yastrzemski Isabella Stewart Gardner John Singer Sargent year
3403,the bounty,ship Island Tahiti Pitcairn April William December October Spithead famous Mutiny Bligh left crew tonga found movie film stripped command boat arrived title reaching usable burned lieutenant hall history sailed breadfruit Pandora Captain Norfolk Pacific John Adams Berthia Fletcher Christian
4839,the boxer rebellion,China history uprising nation Asian foreigner Christians Beijing rebellion troop killed world western influence crushed kung Aug. British Fighters Nickname Days August Herbert Hoover Fists medal Charlton David Niven Harmonious congressional honor fought missionary agreed film insurrection 1898-1900 helped capture
1636,the brady bunch,sitcom Carol family Mike classic Alice Marcia show Cindy Greg story played Maureen theme Leah song lovely Ayres Kitty Missing krofft kid Florence Henderson peter girl episode McCormick role lady television housekeeper series tiger schwartz trivia comeback album message rest
692,the brain,organ body part human gland cord Maurice pound Pinky spinal system blood called lobe activity Lamarche Hail Making cerebrum picasso billion supply neuron weighs nervous dura mater anatomy cartoon find measure parietal Edwards Sonny Cher Beat Side Thromboses Encephalon Mensa
5143,the breakfast club,Molly Ringwald movie Forget John Hughes film soundtrack Judd Nelson Emilio Estevez Simple Minds detention Saturday meal high school Twelve Men teen club Anthony Michael Hall Claire Standish Angry Fire Twilight member organization kid feel inaction talk day-long jeopardy student
3081,the bridges of madison county,Iowa Robert James Waller Clint Eastwood Meryl Streep Francesca book fiction movie Photographer story bartlett film affair top-selling hardcover farm day certainty year wife kind author housewife corn romance Reviewers People National Geographic Amazon.com Lonely Johnson Iowa-set written leaf dialogue
3440,the british museum,London museum Rosetta Stone Elgin Great Russell collection Street Marbles Egyptian Hans library naturalist King Christ Lord Parthenon Smirke George Bloomsbury Department Antiquities Largest Ancient Material Cairo Legend Karl Marx Tavern Hall British Discobolus Henry Treasures founded acquisition sculpture sold
4554,the bronx,City York borough Fordham University named mainland end northernmost Jonas Bronck European Danish Sophisticated Ralph Lifshitz Lauren Rose Hill Upstate Yankees settler campus apple baby young boast alphabetically separated water original home geography
3224,the brooklyn bridge,East River bridge Roebling John July York opened Hart Crane America Steve span leaped manhattan million arthur built building cost View science designed technology oldest suspension poet symbolize hodgepodge front page engineer Washington landmark structure George Parker History Great President
4543,the brothers grimm,brother tale german century Kassel Marburg Deutsches Worterbuch fairy dictionary literature University Hausmarchen early people author studied collecting guinness record folklorists largest mouse folk compiled published work Berlin Idle Servants Apprentices Kinderund Sparrow Children Dorthea Viehmann Devil Sooty Bird Sausage
1954,the brothers karamazov,Dostoyevsky Ivan Alyosha Fyodor Russian Dmitri Grushenka literary character title sibling work father son film based middle writer student saga book page family patricide ballet religious Alexi Hurrah Karamazov William Feuding Monroe Maria Schell Smerdyakov Funeral Speech intellectual clock occupation
5086,the buffalo bills,Super team Bowls straight losing football Kelly Marv Levy Simpson Frank Reich York Nickels Western sport coach appearance number yardage time playoff lost game replacing 35-3 deficit victory state chose called paid homage hero Erie Canal President Clinton entered beat
2806,the byzantine empire,empire Constantine Turks Eastern Roman century Irene Palaeologus ruler Theodora medieval doge europe died fighting VIII historic deposed blinded Reigning called nickname time place Nicephorus Basil Justinian Alexius Crusades Copronymus Istanbul Belisario Balkan Bulgar middle age 797-802 declared daughter joint
4922,the caine mutiny,Queeg Herman Wouk Captain Pulitzer bogart humphrey film World Pulitzer-winning Crazy strawberry rebellious aboard ship Prize WWII bogie literature book cinema title flick back salute destroyer-minesweeper winner york seller lose argument grew experience learned officer face sailor quits
4869,the call of the wild,Buck London Jack Klondike Bernard Scotch half call Miller read stolen book manuel work shepherd survives wilderness title unfamiliar yearning stirring hears hope song California Llamado Selva Judge Alaska Yukon Gold Rush England Speak Stay Partly Sounding Powerful primitive libros
3283,the canary islands,Spanish island Africa Tenerife group atlantic coast Columbus World Archipelago Cruz Northwest Santa Gomera Palmas dog home isle stop Francisco Making headed west province people pyramid gorge jungle Canarians Republic Fortunate Morocco Mount Teide Latin Guanche make mile animal history
1147,the canterbury tales,Chaucer Tale Tabard literature English story knight Aprill Whan work Miller pilgrim century William prologue classic collection Wife Bath Harry Bailly Priest Caxton Parson Becket Reeve shoures soote poetry Entertainment Shakespeare Late Bar Cooney general begin Russell Constance Madame Eglentyn
